zip code,foodsize,sumincome,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                       ,sumpop
77087,37,1918409580.0,36399.0,11494.0,17258938.0,87757.0,6.664,0.034,29.685621,-95.304159,15600.0
77088,11,4499079350.0,49660.0,17680.0,28967373.0,169952.0,11.184,0.066,29.881487,-95.452619,24400.0
77089,26,4613769560.0,48685.0,16805.0,32931806.0,1461490.0,12.715,0.564,29.586959,-95.225601,23690.0
77090,1,2471592230.0,32930.0,16429.0,21289363.0,133048.0,8.22,0.051,30.00824,-95.438996,17730.0
77091,16,966502750.0,23472.0,10992.0,18598945.0,80375.0,7.181,0.031,29.853067,-95.435966,11320.0
77092,50,1847411880.0,33745.0,14870.0,19724204.0,42292.0,7.616,0.016,29.830024,-95.474409,15600.0
77093,10,2662039590.0,46929.0,13858.0,31147290.0,20526.0,12.026,0.008,29.8634,-95.341409,18140.0
77094,6,1022455070.0,8498.0,3189.0,29196393.0,810402.0,11.273,0.313,29.769285,-95.681292,4500.0
77096,33,3142419850.0,32628.0,15431.0,15503253.0,148090.0,5.986,0.057,29.675339,-95.479372,15920.0
77098,97,2189950260.0,13076.0,9064.0,4598100.0,164.0,1.775,0.0,29.734813,-95.416098,8290.0
77099,26,3479665990.0,47091.0,17439.0,16112274.0,11938.0,6.221,0.005,29.670869,-95.58599,21230.0
77336,1,394701850.0,12471.0,4643.0,101137904.0,10118331.0,39.05,3.907,30.063168,-95.098858,5860.0
77338,2,2387581200.0,33971.0,13017.0,68564213.0,2290805.0,26.473,0.884,30.017301,-95.286217,17570.0
77339,50,4395615400.0,37512.0,16137.0,43689679.0,2494775.0,16.869,0.963,30.046777,-95.221022,18790.0
77345,7,4940602890.0,26122.0,9822.0,21906902.0,5635267.0,8.458,2.176,30.053105,-95.157943,12100.0
77388,1,4892758730.0,40384.0,14196.0,36034805.0,191726.0,13.913,0.074,30.059307,-95.470689,20690.0
77396,1,3804712040.0,43317.0,14394.0,69437393.0,408675.0,26.81,0.158,29.944166,-95.258689,21220.0
77478,1,3109967230.0,24739.0,9371.0,25191938.0,1606621.0,9.727,0.62,29.620312,-95.605693,12220.0
77489,1,2731550120.0,35554.0,12085.0,29100217.0,550133.0,11.236,0.212,29.600434,-95.515549,18840.0
77498,1,4401696220.0,49906.0,15554.0,40104373.0,1655396.0,15.484,0.639,29.643586,-95.65327,21930.0
77546,7,9246308720.0,47636.0,17268.0,68305675.0,392013.0,26.373,0.151,29.515074,-95.192133,23210.0
77598,7,1052569700.0,23059.0,11956.0,31342292.0,515898.0,12.101,0.199,29.53864,-95.1361,11400.0
