zip code,foodsize,sumincome,INTPTLAT,INTPTLONG                                                                                                                       ,sumpop
11209,259,5769833400.0,40.621982,-74.030323,30900.0
11210,95,3538692720.0,40.628147,-73.946324,18540.0
11211,391,1656569820.0,40.712597,-73.953098,10740.0
11212,115,2138448360.0,40.662936,-73.913029,10020.0
11213,102,23619420.0,40.671078,-73.936336,660.0
11214,189,2592711480.0,40.599148,-73.99609,34680.0
11215,349,1835604720.0,40.662688,-73.98674,17460.0
11216,176,1027641180.0,40.680768,-73.949316,10020.0
11217,273,354884760.0,40.682306,-73.978099,4980.0
11218,146,304354260.0,40.643476,-73.976043,3780.0
11219,113,3291840.0,40.632667,-73.996669,240.0
11220,339,4924176000.0,40.641221,-74.016863,48000.0
11221,119,2834155920.0,40.69134,-73.927879,21720.0
11222,205,1378455360.0,40.72779,-73.947605,11640.0
11223,185,535799880.0,40.597139,-73.973428,6120.0
11224,88,838205760.0,40.577372,-73.988706,6180.0
11225,126,75371100.0,40.663046,-73.954219,1140.0
11226,196,35925120.0,40.646448,-73.956649,4320.0
11228,56,50789160.0,40.616695,-74.013047,2220.0
11229,138,56727000.0,40.601293,-73.944493,1980.0
11230,109,158328720.0,40.622164,-73.965105,2640.0
11231,165,13662540.0,40.677916,-74.005154,540.0
11232,122,5190153000.0,40.656527,-74.007331,50280.0
11233,83,4623058440.0,40.678308,-73.919936,27720.0
11234,153,3346632000.0,40.60508,-73.911721,18000.0
11235,182,2561063040.0,40.583949,-73.949096,13320.0
11236,112,9400320000.0,40.639413,-73.900664,20400.0
11237,213,1667233380.0,40.70416,-73.921139,4740.0
11238,246,14976900.0,40.679171,-73.963804,2700.0
11239,17,3975720.0,40.647735,-73.879477,840.0
11354,428,11719080.0,40.768208,-73.827403,1080.0
11355,215,7660800.0,40.751475,-73.821031,720.0
11356,56,10219440.0,40.78485,-73.841279,660.0
11357,71,0.0,40.786394,-73.810862,0.0
11358,146,3752332800.0,40.760471,-73.796371,41700.0
11360,24,385162320.0,40.780294,-73.781206,6180.0
11361,124,94500240.0,40.764191,-73.772775,2580.0
